stock_code,description,units_sold,revenue,orders
22046,TEA PARTY  WRAPPING PAPER ,2250.0,929.0,75
22047,EMPIRE GIFT WRAP,3375.0,1373.5,106
22048,BIRTHDAY BANQUET GIFT WRAP,975.0,393.5,32
22049,WRAP CHRISTMAS SCREEN PRINT,1050.0,291.5,33
22050,PINK PAISLEY ROSE GIFT WRAP,1225.0,498.5,40
22051,BLUE SCANDINAVIAN PAISLEY WRAP,975.0,409.5,39
22052,VINTAGE CARAVAN GIFT WRAP,650.0,273.0,27
22053,EMPIRE DESIGN ROSETTE,4244.0,3606.42,28
22055,MINI CAKE STAND  HANGING STRAWBERY,1375.0,2083.19,220
22057,CERAMIC PLATE STRAWBERRY DESIGN,584.0,667.92,61
22059,CERAMIC STRAWBERRY DESIGN MUG,1780.0,2081.54,173
22060,LARGE CAKE STAND HANGING HEARTS,231.0,1111.05,34
22061,LARGE CAKE STAND  HANGING STRAWBERY,582.0,4218.06,146
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,583.0,677.86,73
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,583.0,1367.45,120
22064,PINK DOUGHNUT TRINKET POT ,1728.0,2546.3,241
22065,CHRISTMAS PUDDING TRINKET POT ,6729.0,3462.25,241
22066,LOVE HEART TRINKET POT,2239.0,1044.81,135
22067,CHOC TRUFFLE GOLD TRINKET POT ,408.0,638.62,70
22068,BLACK PIRATE TREASURE CHEST,526.0,856.39,143
22069,BROWN  PIRATE TREASURE CHEST ,414.0,993.5,146
22070,SMALL RED RETROSPOT MUG IN BOX ,948.0,2354.4,116
22071,SMALL WHITE RETROSPOT MUG IN BOX ,729.0,1384.3,86
22072,RED RETROSPOT TEA CUP AND SAUCER ,848.0,2811.17,162
22073,RED RETROSPOT STORAGE JAR,334.0,1336.14,69
22074,6 RIBBONS SHIMMERING PINKS ,1402.0,1239.67,199
22075,6 RIBBONS ELEGANT CHRISTMAS ,1773.0,2489.03,200
22076,6 RIBBONS EMPIRE  ,1259.0,1667.88,225
22077,6 RIBBONS RUSTIC CHARM,9172.0,17186.62,955
22078,RIBBON REEL LACE DESIGN ,1369.0,2923.21,192
22079,RIBBON REEL HEARTS DESIGN ,1897.0,3325.29,323
22080,RIBBON REEL POLKADOTS ,1206.0,2003.48,155
22081,RIBBON REEL FLORA + FAUNA ,644.0,1176.5,138
22082,RIBBON REEL STRIPES DESIGN ,2680.0,4661.88,409
22083,PAPER CHAIN KIT RETROSPOT,4616.0,14051.64,610
22084,PAPER CHAIN KIT EMPIRE,5181.0,15099.37,436
22085,PAPER CHAIN KIT SKULLS ,548.0,1566.99,97
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,19329.0,64875.59,1160
22087,PAPER BUNTING WHITE LACE,4082.0,11872.58,326
22088,PAPER BUNTING COLOURED LACE,1893.0,5661.05,238
22089,PAPER BUNTING VINTAGE PAISLEY,1423.0,4457.43,272
22090,PAPER BUNTING RETROSPOT,7562.0,22785.06,798
22091,EMPIRE TISSUE BOX,1983.0,1030.1,167
22092,BLUE PAISLEY TISSUE BOX,670.0,321.4,91
22093,MOTORING TISSUE BOX,1830.0,822.13,160
22094,RED RETROSPOT TISSUE BOX,2166.0,1135.0,200
22095,LADS ONLY TISSUE BOX,1643.0,1605.96,143
22096,PINK PAISLEY SQUARE TISSUE BOX ,1366.0,584.09,117
22097,SWALLOW SQUARE TISSUE BOX,1596.0,732.39,145
22098,BOUDOIR SQUARE TISSUE BOX,1992.0,1001.55,172
22099,CARAVAN SQUARE TISSUE BOX,1440.0,800.59,153
22100,SKULLS SQUARE TISSUE BOX,755.0,354.82,59
22101,MIRROR MOSAIC VOTIVE HOLDER,1438.0,2053.17,69
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1622.0,831.84,31
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1248.0,908.24,26
22104,MIRROR MOSAIC CANDLE PLATE,288.0,343.71,59
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,574.0,847.82,33
22106,MIRROR MOSAIC HURRICANE LAMP ,349.0,898.38,47
22107,PIZZA PLATE IN BOX,592.0,2153.06,179
22108,PING! MICROWAVE PLATE,152.0,415.09,63
22109,FULL ENGLISH BREAKFAST PLATE,1640.0,6921.15,296
22110,BIRD HOUSE HOT WATER BOTTLE,1172.0,4912.14,279
22111,SCOTTIE DOG HOT WATER BOTTLE,4655.0,24455.39,771
22112,CHOCOLATE HOT WATER BOTTLE,6017.0,32826.58,858
22113,GREY HEART HOT WATER BOTTLE,3220.0,12763.08,561
22114,HOT WATER BOTTLE TEA AND SYMPATHY,5740.0,32973.44,643
22115,METAL SIGN EMPIRE TEA,1549.0,2020.91,228
22116,METAL SIGN HIS DINNER IS SERVED,575.0,620.42,148
22117,METAL SIGN HER DINNER IS SERVED ,1320.0,3896.45,95
22118,JOY WOODEN BLOCK LETTERS,230.0,895.26,89
22119,PEACE WOODEN BLOCK LETTERS,345.0,1734.87,106
22120,WELCOME  WOODEN BLOCK LETTERS,523.0,5247.09,188
22121,NOEL WOODEN BLOCK LETTERS ,352.0,2159.7,133
22123,PING MICROWAVE APRON,508.0,1068.38,122
22124,SET OF 2 TEA TOWELS PING MICROWAVE,149.0,306.16,76
22125,UNION JACK HOT WATER BOTTLE ,13.0,139.86,3
22127,PARTY CONES CARNIVAL ASSORTED,404.0,504.88,22
22128,PARTY CONES CANDY ASSORTED,1762.0,2127.53,76
22129,PARTY CONES CANDY DECORATION,454.0,621.96,67
22129,PARTY CONES CANDY TREE DECORATION,734.0,604.46,33
22130,PARTY CONE CHRISTMAS DECORATION ,2277.0,2664.63,110
22131,FOOD CONTAINER SET 3 LOVE HEART ,2031.0,3936.59,291
22132,RED LOVE HEART SHAPE CUP,1038.0,939.03,154
22133,PINK LOVE HEART SHAPE CUP,816.0,770.73,133
22134,LADLE LOVE HEART RED ,24.0,17.82,9
22134,MINI LADLE LOVE HEART RED ,865.0,401.18,153
22135,LADLE LOVE HEART PINK,39.0,24.98,13
22135,MINI LADLE LOVE HEART PINK,528.0,297.4,166
22136,LOVE HEART SOCK HANGER,378.0,679.28,84
22137,BATHROOM SET LOVE HEART DESIGN,82.0,237.98,14
22138,BAKING SET 9 PIECE RETROSPOT ,4937.0,24185.27,934
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4518.0,22868.26,962
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2791.0,6463.79,457
22142,CHRISTMAS CRAFT WHITE FAIRY ,3247.0,4946.19,377
22144,CHRISTMAS CRAFT LITTLE FRIENDS,4073.0,9662.28,544
22145,CHRISTMAS CRAFT HEART STOCKING ,30.0,63.0,1
22146,EASTER CRAFT IVY WREATH WITH CHICK,1.0,1.95,1
22147,FELTCRAFT BUTTERFLY HEARTS,6226.0,8621.14,481
22148,EASTER CRAFT 4 CHICKS ,1933.0,3917.45,186
22149,FELTCRAFT 6 FLOWER FRIENDS,6070.0,12357.08,547
22150,3 STRIPEY MICE FELTCRAFT,3021.0,5907.84,468
22151,PLACE SETTING WHITE HEART,15126.0,6322.21,332
22152,PLACE SETTING WHITE STAR,2407.0,1053.08,105
22153,ANGEL DECORATION STARS ON DRESS,2593.0,1109.05,131
22154,ANGEL DECORATION 3 BUTTONS ,3745.0,1636.67,162
22155,STAR DECORATION RUSTIC,2452.0,1133.61,142
22156,HEART DECORATION WITH PEARLS ,2196.0,2113.13,256
22157,ANGEL DECORATION WITH LACE PADDED,212.0,180.2,11
22158,3 HEARTS HANGING DECORATION RUSTIC,3413.0,11797.38,303
22161,HEART DECORATION RUSTIC HANGING ,5083.0,1645.75,340
22162,HEART GARLAND RUSTIC PADDED,264.0,841.24,91
22163,HEART STRING MEMO HOLDER HANGING,875.0,1042.78,122
22164,STRING OF STARS CARD HOLDER,78.0,250.22,15
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",415.0,3328.2,146
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,207.0,1614.4,87
22167, OVAL WALL MIRROR DIAMANTE ,236.0,2391.12,156
22168,ORGANISER WOOD ANTIQUE WHITE ,143.0,1205.3,76
22169,FAMILY ALBUM WHITE PICTURE FRAME,1197.0,10345.76,372
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1068.0,6977.6,265
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1794.0,13611.81,382
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2444.0,7767.8,493
22174,PHOTO CUBE,3218.0,5978.78,321
22175,PINK OWL SOFT TOY,877.0,2594.23,171
22176,BLUE OWL SOFT TOY,512.0,1536.88,115
22178,VICTORIAN GLASS HANGING T-LIGHT,24275.0,33146.82,1037
22179,SET 10 LIGHTS NIGHT OWL,461.0,3317.47,119
22179,SET 10 NIGHT OWL LIGHTS,505.0,3908.73,170
22180,RETROSPOT LAMP,330.0,3521.54,155
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,591.0,500.91,57
22182,CAKE STAND VICTORIAN FILIGREE SMALL,372.0,1420.58,122
22183,CAKE STAND VICTORIAN FILIGREE MED,322.0,1916.01,129
22184,CAKE STAND VICTORIAN FILIGREE LARGE,56.0,471.86,35
22185,SLATE TILE NATURAL HANGING,1472.0,2235.94,162
22186,RED STAR CARD HOLDER,848.0,1997.48,149
22187,GREEN CHRISTMAS TREE CARD HOLDER,1266.0,3245.68,192
22188,BLACK HEART CARD HOLDER,4870.0,12483.22,189
22189,CREAM HEART CARD HOLDER,8284.0,23435.82,524
22190,LOCAL CAFE MUG,676.0,1057.71,116
22191,IVORY DINER WALL CLOCK,1445.0,11911.65,415
22192,BLUE DINER WALL CLOCK,954.0,8189.29,365
22193,RED DINER WALL CLOCK,1400.0,11857.07,460
22194,BLACK DINER WALL CLOCK,66.0,625.69,44
22195,LARGE HEART MEASURING SPOONS,1976.0,3720.66,373
22196,SMALL HEART MEASURING SPOONS,2847.0,2754.16,472
22197,POPCORN HOLDER,36749.0,34288.67,803
22197,SMALL POPCORN HOLDER,20149.0,17045.8,589
22198,LARGE POPCORN HOLDER ,1025.0,1870.91,86
22199,FRYING PAN RED POLKADOT ,1.0,4.25,1
22199,FRYING PAN RED RETROSPOT,466.0,1922.34,166
22200,FRYING PAN PINK POLKADOT,398.0,1809.48,140
22201,FRYING PAN BLUE POLKADOT,193.0,716.8,87
22202,MILK PAN PINK POLKADOT,64.0,319.35,37
22203,MILK PAN RED RETROSPOT,403.0,1483.13,145
22204,MILK PAN BLUE POLKADOT,197.0,669.54,79
22206,"MUG , DOTCOMGIFTSHOP.COM ",5.0,4.17,5
22207,FRYING PAN UNION FLAG,1333.0,5833.59,208
22208,WOOD STAMP SET THANK YOU,1509.0,1571.49,280
22209,WOOD STAMP SET HAPPY BIRTHDAY,945.0,964.22,173
22210,WOOD STAMP SET BEST WISHES,1017.0,958.04,187
22211,WOOD STAMP SET FLOWERS,1008.0,1122.39,196
22212,FOUR HOOK  WHITE LOVEBIRDS,1609.0,3700.94,399
22214,CANDLE PLATE LACE WHITE,193.0,416.6,56
22215,CAKE STAND WHITE TWO TIER LACE,343.0,2471.39,101
22216,T-LIGHT HOLDER WHITE LACE,588.0,512.93,68
22217,T-LIGHT HOLDER HANGING LACE,839.0,831.26,82
22218,CAKE STAND LACE WHITE,1.0,4.25,1
22219,LOVEBIRD HANGING DECORATION WHITE ,4133.0,4033.73,544
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,231.0,1849.25,86
22221,CAKE STAND LOVEBIRD 2 TIER PINK,131.0,1104.54,51
22222,CAKE PLATE LOVEBIRD WHITE,1057.0,3880.2,222
22223,CAKE PLATE LOVEBIRD PINK,441.0,1821.61,78
22224,WHITE LOVEBIRD LANTERN,834.0,2764.06,164
22227,HANGING HEART MIRROR DECORATION ,2341.0,1708.07,289
22228,BUNNY WOODEN PAINTED WITH BIRD ,1000.0,777.78,147
22229,BUNNY WOODEN PAINTED WITH FLOWER ,568.0,432.46,101
22230,JIGSAW TREE WITH WATERING CAN,1047.0,480.63,101
22231,JIGSAW TREE WITH BIRDHOUSE,998.0,1027.72,144
22232,JIGSAW TOADSTOOLS 3 PIECE,690.0,604.46,83
22233,JIGSAW RABBIT AND BIRDHOUSE,596.0,607.14,105
22236,CAKE STAND 3 TIER MAGIC GARDEN,308.0,3624.6,88
22241,GARLAND WOODEN HAPPY EASTER,1952.0,2609.43,239
22242,5 HOOK HANGER MAGIC TOADSTOOL,640.0,994.38,34
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,3098.0,4751.64,131
22244,3 HOOK HANGER MAGIC GARDEN,1703.0,3276.21,159
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1262.0,1070.0,98
22246,"GARLAND, MAGIC GARDEN 1.8M",12.0,23.4,1
22246,MAGIC GARDEN FELT GARLAND ,419.0,939.37,89
22247,BUNNY DECORATION MAGIC GARDEN,668.0,591.44,113
22248,DECORATION  PINK CHICK MAGIC GARDEN,593.0,525.09,109
22249,DECORATION WHITE CHICK MAGIC GARDEN,928.0,812.86,145
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,819.0,730.95,147
22251,BIRDHOUSE DECORATION MAGIC GARDEN,712.0,889.49,137
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,643.0,761.57,67
22254,FELT TOADSTOOL LARGE,657.0,836.8,61
22255,FELT TOADSTOOL  SMALL,629.0,602.63,77
22256,FELT FARM ANIMAL CHICKEN,286.0,387.9,50
22257,FELT FARM ANIMAL SHEEP,373.0,280.42,42
22258,FELT FARM ANIMAL RABBIT,912.0,743.89,77
22259,FELT FARM ANIMAL HEN,481.0,332.84,44
22260,FELT EGG COSY BLUE RABBIT ,552.0,577.44,104
22261,FELT EGG COSY WHITE RABBIT ,579.0,544.71,107
22262,FELT EGG COSY CHICKEN,1023.0,950.46,137
22263,FELT EGG COSY LADYBIRD ,326.0,195.97,51
22264,FELT FARM ANIMAL WHITE BUNNY ,1561.0,736.98,96
22265,EASTER DECORATION NATURAL CHICK,536.0,363.55,64
22266,EASTER DECORATION HANGING BUNNY,1887.0,595.85,92
22267,EASTER DECORATION EGG BUNNY ,836.0,673.17,83
22268,DECORATION SITTING BUNNY,1480.0,349.54,83
22268,EASTER DECORATION SITTING BUNNY,529.0,452.8,75
22269,EGG CUP NATURAL CHICKEN,932.0,621.49,125
22270,HAPPY EASTER HANGING DECORATION,243.0,942.2,53
22271,FELTCRAFT DOLL ROSIE,1701.0,5007.35,301
22272,FELTCRAFT DOLL MARIA,196.0,564.92,48
22273,FELTCRAFT DOLL MOLLY,4509.0,12001.59,331
22274,FELTCRAFT DOLL EMILY,1340.0,3953.48,267
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,69.0,527.85,1
22276,WASH BAG VINTAGE ROSE PAISLEY,290.0,838.86,85
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,417.0,897.74,100
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,405.0,2704.35,178
22279,POCKET BAG BLUE PAISLEY RED SPOT,831.0,1003.4,128
22280,POCKET BAG PINK PAISELY BROWN SPOT,468.0,509.59,95
22281,EASTER TREE YELLOW BIRDS,131.0,929.44,63
22282,12 EGG HOUSE PAINTED WOOD,149.0,2378.52,99
22283,6 EGG HOUSE PAINTED WOOD,299.0,2726.43,155
22284,HEN HOUSE DECORATION,927.0,1597.07,131
22285,"DECORATION HEN ON NEST, HANGING",42.0,74.43,6
22285,HANGING HEN ON NEST DECORATION,828.0,1418.82,114
22286,"DECORATION , WOBBLY RABBIT , METAL ",293.0,518.03,48
22286,DECORATION WOBBLY RABBIT METAL ,830.0,504.46,67
22287,"DECORATION , WOBBLY CHICKEN, METAL ",234.0,397.72,35
22287,DECORATION WOBBLY CHICKEN,560.0,319.14,45
22288,HANGING METAL RABBIT DECORATION,474.0,616.95,58
22289,HANGING METAL CHICKEN DECORATION,148.0,193.52,34
22291,HANGING CHICK CREAM DECORATION,1289.0,1906.02,120
22292,HANGING CHICK  YELLOW DECORATION,1136.0,1604.51,112
22293,HANGING CHICK GREEN DECORATION,903.0,1335.87,122
22294,HEART FILIGREE DOVE  SMALL,5457.0,6805.08,299
22295,HEART FILIGREE DOVE LARGE,2789.0,4613.97,250
22296,HEART IVORY TRELLIS LARGE,3140.0,5247.72,318
22297,HEART IVORY TRELLIS SMALL,4164.0,5459.91,378
22299,PIG KEYRING WITH LIGHT & SOUND ,1379.0,1386.97,80
22300,COFFEE MUG DOG + BALL DESIGN,1528.0,3409.21,196
22301,COFFEE MUG CAT + BIRD DESIGN,2205.0,4980.83,252
22302,COFFEE MUG PEARS  DESIGN,2329.0,5134.29,212
22303,COFFEE MUG APPLES DESIGN,2816.0,6338.25,261
22304,COFFEE MUG BLUE PAISLEY DESIGN,761.0,1352.88,61
22305,COFFEE MUG PINK PAISLEY DESIGN,693.0,1604.58,51
22306,SILVER MUG BONE CHINA TREE OF LIFE,1162.0,1415.85,111
22307,GOLD MUG BONE CHINA TREE OF LIFE,770.0,969.64,74
22308,TEA COSY BLUE STRIPE,250.0,877.38,105
22309,TEA COSY RED  STRIPE,369.0,1091.05,121
22310,IVORY KNITTED MUG COSY ,668.0,1296.23,109
22311,OFFICE MUG WARMER BLACK+SILVER ,1132.0,3403.76,142
22312,OFFICE MUG WARMER POLKADOT,645.0,1950.49,131
22313,OFFICE MUG WARMER PINK,565.0,1564.83,65
22314,OFFICE MUG WARMER CHOC+BLUE,570.0,1759.12,133
22315,200 RED + WHITE BENDY STRAWS,916.0,1218.93,172
22316,200 BENDY SKULL STRAWS,660.0,742.37,55
22317,FIVE CATS HANGING DECORATION,286.0,879.67,89
22318,FIVE HEART HANGING DECORATION,462.0,1541.62,142
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,1322.0,572.26,61
22320,BIRDS MOBILE VINTAGE DESIGN,189.0,1147.27,73
22321,BIRD DECORATION RED RETROSPOT,893.0,860.93,132
22322,BIRD DECORATION GREEN POLKADOT,820.0,747.81,139
22323,PINK POLKADOT KIDS BAG,1.0,1.95,1
22324,BLUE POLKADOT KIDS BAG,286.0,688.3,74
22325,MOBILE VINTAGE HEARTS ,249.0,1146.35,93
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8535.0,24364.87,732
22327,ROUND SNACK BOXES SET OF 4 SKULLS,1167.0,4304.25,287
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6835.0,19094.97,581
22329,ROUND CONTAINER SET OF 5 RETROSPOT,1603.0,2661.89,238
22331,WOODLAND PARTY BAG + STICKER SET,1840.0,2975.14,183
22332,SKULLS PARTY BAG + STICKER SET,1032.0,1678.0,148
22333,RETROSPOT PARTY BAG + STICKER SET,4492.0,7043.94,317
22334,DINOSAUR PARTY BAG + STICKER SET,707.0,1160.71,101
22335,HEART DECORATION PAINTED ZINC ,2380.0,1668.89,225
22336,DOVE DECORATION PAINTED ZINC ,2381.0,754.03,79
22337,ANGEL DECORATION PAINTED ZINC ,912.0,574.54,77
22338,STAR DECORATION PAINTED ZINC ,4679.0,1233.91,180
22339,CHRISTMAS TREE PAINTED ZINC ,2468.0,683.31,83
22340,NOEL GARLAND PAINTED ZINC ,1398.0,787.21,128
22341,LOVE GARLAND PAINTED ZINC ,453.0,827.63,78
22342,HOME GARLAND PAINTED ZINC ,997.0,1111.58,128
22343,PARTY PIZZA DISH RED RETROSPOT,1974.0,873.33,94
22344,PARTY PIZZA DISH PINK POLKADOT,1225.0,459.81,76
22345,PARTY PIZZA DISH BLUE POLKADOT,1117.0,399.05,71
22346,PARTY PIZZA DISH GREEN POLKADOT,1034.0,381.09,59
22348,TEA BAG PLATE RED RETROSPOT,4084.0,3583.29,358
22349,DOG BOWL CHASING BALL DESIGN,1366.0,5381.52,131
22350,ILLUSTRATED CAT BOWL ,1410.0,3822.12,120
22351,DOTCOMGIFTSHOP TEA TOWEL,13.0,23.09,2
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,3088.0,7860.97,482
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,60.0,153.0,24
22354,RETROSPOT PADDED SEAT CUSHION,750.0,2860.98,83
22355,CHARLOTTE BAG SUKI DESIGN,18124.0,29254.15,882
22356,CHARLOTTE BAG PINK POLKADOT,9716.0,11417.74,742
22357,KINGS CHOICE BISCUIT TIN,468.0,2175.04,180
22358,KINGS CHOICE TEA CADDY ,698.0,2551.22,255
22359,GLASS JAR KINGS CHOICE,183.0,605.77,81
22360,GLASS JAR ENGLISH CONFECTIONERY,1010.0,3192.82,214
22361,GLASS JAR DAISY FRESH COTTON WOOL,727.0,2592.33,268
22362,GLASS JAR PEACOCK BATH SALTS,408.0,1329.44,133
22363,GLASS JAR MARMALADE ,480.0,1380.8,81
22364,GLASS JAR DIGESTIVE BISCUITS,616.0,2001.32,164
22365,DOORMAT RESPECTABLE HOUSE,789.0,5754.03,179
22366,DOORMAT AIRMAIL ,800.0,6034.9,220
22367,CHILDRENS APRON SPACEBOY DESIGN,3749.0,7508.58,550
22371,AIRLINE BAG VINTAGE TOKYO 78,1086.0,5072.32,392
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,279.0,1289.49,147
22374,AIRLINE BAG VINTAGE JET SET RED,546.0,2427.52,223
22375,AIRLINE BAG VINTAGE JET SET BROWN,346.0,1626.54,167
22376,AIRLINE BAG VINTAGE JET SET WHITE,252.0,1133.2,122
22377,BOTTLE BAG RETROSPOT ,1330.0,2171.53,207
22378,WALL TIDY RETROSPOT ,2283.0,3638.57,293
22379,RECYCLING BAG RETROSPOT ,6896.0,15607.59,748
22380,TOY TIDY SPACEBOY  ,1312.0,2815.46,285
22381,TOY TIDY PINK POLKADOT,3439.0,7433.74,469
22382,LUNCH BAG SPACEBOY DESIGN ,10427.0,18031.31,1157
22383,LUNCH BAG SUKI  DESIGN ,2217.0,3786.91,200
22383,LUNCH BAG SUKI DESIGN ,10301.0,18699.43,1084
22384,LUNCH BAG PINK POLKADOT,10487.0,17388.99,1090
22385,JUMBO BAG SPACEBOY DESIGN,8666.0,17071.59,686
22386,JUMBO BAG PINK POLKADOT,21448.0,42401.01,1218
22389,PAPERWEIGHT SAVE THE PLANET,338.0,641.55,45
22390,PAPERWEIGHT CHILDHOOD MEMORIES,266.0,440.34,36
22391,PAPERWEIGHT HOME SWEET HOME,158.0,245.58,29
22393,PAPERWEIGHT VINTAGE COLLAGE,510.0,736.88,71
22394,PAPERWEIGHT KINGS CHOICE ,168.0,230.68,23
22395,PAPERWEIGHT VINTAGE PAISLEY,152.0,220.04,33
22396,MAGNETS PACK OF 4 RETRO PHOTO,1226.0,630.37,128
22398,MAGNETS PACK OF 4 SWALLOWS,2575.0,1589.12,248
22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1152.0,1347.08,98
22400,MAGNETS PACK OF 4 HOME SWEET HOME,1393.0,729.09,150
22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,1719.0,1033.16,151
22403,MAGNETS PACK OF 4 VINTAGE LABELS ,1322.0,689.28,125
22405,MONEY BOX POCKET MONEY DESIGN,372.0,415.36,70
22406,MONEY BOX KINGS CHOICE DESIGN,346.0,403.46,84
22407,MONEY BOX FIRST ADE DESIGN,50.0,62.5,13
22407,MONEY BOX FIRST AID DESIGN,44.0,36.78,11
22408,MONEY BOX CONFECTIONERY DESIGN,145.0,162.44,29
22409,MONEY BOX BISCUITS DESIGN,228.0,299.72,57
22410,MONEY BOX HOUSEKEEPING DESIGN,237.0,247.42,58
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12574.0,28577.1,1175
22412,METAL SIGN NEIGHBOURHOOD WITCH ,911.0,1931.85,147
22413,METAL SIGN TAKE IT OR LEAVE IT ,3774.0,11095.94,412
22414,DOORMAT NEIGHBOURHOOD WITCH ,279.0,2038.39,95
22415,WHITE TISSUE REAM,19.0,151.05,13
22416,SET OF 36 DOILIES SPACEBOY DESIGN ,817.0,1135.4,68
22416,SET OF 36 SPACEBOY PAPER DOILIES,51.0,75.42,8
22417,PACK OF 60 SPACEBOY CAKE CASES,8420.0,4563.24,520
22418,10 COLOUR SPACEBOY PEN,6564.0,5585.45,318
22419,LIPSTICK PEN RED,3338.0,1673.1,272
22420,LIPSTICK PEN BABY PINK,1333.0,611.3,126
22421,LIPSTICK PEN FUSCHIA,2597.0,1347.1,213
22422,TOOTHPASTE TUBE PEN,1273.0,776.1,205
22423,REGENCY CAKESTAND 3 TIER,13851.0,174156.54,1988
22424,ENAMEL BREAD BIN CREAM,873.0,12358.33,454
22425,ENAMEL COLANDER CREAM,460.0,2346.12,166
22426,ENAMEL WASH BOWL CREAM,742.0,2855.21,208
22427,ENAMEL FLOWER JUG CREAM,2106.0,12647.26,506
22428,ENAMEL FIRE BUCKET CREAM,246.0,1854.76,114
22429,ENAMEL MEASURING JUG CREAM,1262.0,5507.18,376
22430,ENAMEL WATERING CAN CREAM,617.0,3241.34,195
22431,WATERING CAN BLUE ELEPHANT,2058.0,3998.71,334
22432,WATERING CAN PINK BUNNY,1716.0,3342.82,277
22433,WATERING CAN GREEN DINOSAUR,1394.0,2667.5,227
22434,BALLOON PUMP WITH 10 BALLOONS,793.0,1570.41,124
22435,SET OF 9 HEART SHAPED BALLOONS,2757.0,3445.5,266
22436,12 COLOURED PARTY BALLOONS,2134.0,1398.51,163
22437,SET OF 9 BLACK SKULL BALLOONS,2828.0,2417.24,226
22438,BALLOON ART MAKE YOUR OWN FLOWERS,1009.0,1034.9,98
22439,6 ROCKET BALLOONS ,1898.0,1293.22,197
22440,BALLOON WATER BOMB PACK OF 35,6010.0,2375.04,154
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1047.0,2292.91,219
22442,GROW YOUR OWN FLOWERS SET OF 3,296.0,1241.3,78
22443,GROW YOUR OWN HERBS SET OF 3,164.0,1391.74,90
22444,GROW YOUR OWN PLANT IN A CAN ,838.0,1106.62,57
22445,PENCIL CASE LIFE IS BEAUTIFUL,534.0,1615.91,130
22446,PIN CUSHION BABUSHKA PINK,439.0,1135.18,133
22447,PIN CUSHION BABUSHKA BLUE,137.0,410.81,45
22448,PIN CUSHION BABUSHKA RED,201.0,656.43,45
22449,SILK PURSE BABUSHKA PINK,491.0,1583.95,143
22450,SILK PURSE BABUSHKA BLUE,194.0,657.76,58
22451,SILK PURSE BABUSHKA RED,222.0,775.8,51
22452,MEASURING TAPE BABUSHKA PINK,722.0,1760.31,144
22453,MEASURING TAPE BABUSHKA BLUE,442.0,1185.79,78
22454,MEASURING TAPE BABUSHKA RED,266.0,757.02,41
22456,NATURAL SLATE CHALKBOARD LARGE ,1727.0,9534.67,476
22457,NATURAL SLATE HEART CHALKBOARD ,9119.0,27991.61,1249
22458,CAST IRON HOOK GARDEN FORK,523.0,1421.83,23
22459,CAST IRON HOOK GARDEN TROWEL,386.0,1018.19,25
22460,EMBOSSED GLASS TEALIGHT HOLDER,2546.0,3273.5,211
22461,SAVOY ART DECO CLOCK,239.0,1453.58,53
22464,HANGING METAL HEART LANTERN,3402.0,5485.63,351
22465,HANGING METAL STAR LANTERN,2053.0,3141.54,198
22466,FAIRY TALE COTTAGE NIGHT LIGHT,976.0,1979.34,115
22466,FAIRY TALE COTTAGE NIGHTLIGHT,2093.0,3626.45,94
22467,GUMBALL COAT RACK,7926.0,18798.67,681
22468,BABUSHKA LIGHTS STRING OF 10,517.0,3633.17,153
22469,HEART OF WICKER SMALL,17963.0,32094.6,1201
22470,HEART OF WICKER LARGE,9887.0,30098.11,925
22471,TV DINNER TRAY AIR HOSTESS ,419.0,1502.02,105
22472,TV DINNER TRAY DOLLY GIRL,320.0,1527.01,107
22473,TV DINNER TRAY VINTAGE PAISLEY,503.0,1623.04,112
22474,SPACEBOY TV DINNER TRAY,303.0,1636.27,132
